,Id_IE,Id_Car,Id_Se,Id_Par,Id_Can,Id_Pro
0,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7ab38-74f4-11ed-9ec6-0242ac1c000c,19043022-74f5-11ed-b0b8-0242ac1c000c,359d039c-74f7-11ed-a487-0242ac1c000c,8c050784-74f7-11ed-884d-0242ac1c000c,5d69eeee-74f7-11ed-8d69-0242ac1c000c
1,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7b4ca-74f4-11ed-9ec6-0242ac1c000c,19043392-74f5-11ed-b0b8-0242ac1c000c,359d070c-74f7-11ed-a487-0242ac1c000c,8c050932-74f7-11ed-884d-0242ac1c000c,5d69f132-74f7-11ed-8d69-0242ac1c000c
2,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7b632-74f4-11ed-9ec6-0242ac1c000c,190434f0-74f5-11ed-b0b8-0242ac1c000c,359d07e8-74f7-11ed-a487-0242ac1c000c,8c0509b4-74f7-11ed-884d-0242ac1c000c,5d69f1f0-74f7-11ed-8d69-0242ac1c000c
3,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7b704-74f4-11ed-9ec6-0242ac1c000c,19043612-74f5-11ed-b0b8-0242ac1c000c,359d089c-74f7-11ed-a487-0242ac1c000c,8c050a2c-74f7-11ed-884d-0242ac1c000c,5d69f29a-74f7-11ed-8d69-0242ac1c000c
4,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7b8c6-74f4-11ed-9ec6-0242ac1c000c,19043716-74f5-11ed-b0b8-0242ac1c000c,359d093c-74f7-11ed-a487-0242ac1c000c,8c050a90-74f7-11ed-884d-0242ac1c000c,5d69f330-74f7-11ed-8d69-0242ac1c000c
5,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7b998-74f4-11ed-9ec6-0242ac1c000c,19043810-74f5-11ed-b0b8-0242ac1c000c,359d09dc-74f7-11ed-a487-0242ac1c000c,8c050afe-74f7-11ed-884d-0242ac1c000c,5d69f3c6-74f7-11ed-8d69-0242ac1c000c
6,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7ba4c-74f4-11ed-9ec6-0242ac1c000c,190439be-74f5-11ed-b0b8-0242ac1c000c,359d0a72-74f7-11ed-a487-0242ac1c000c,8c050b62-74f7-11ed-884d-0242ac1c000c,5d69f452-74f7-11ed-8d69-0242ac1c000c
7,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7bb5a-74f4-11ed-9ec6-0242ac1c000c,19043afe-74f5-11ed-b0b8-0242ac1c000c,359d0b1c-74f7-11ed-a487-0242ac1c000c,8c050bc6-74f7-11ed-884d-0242ac1c000c,5d69f4f2-74f7-11ed-8d69-0242ac1c000c
8,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7bc22-74f4-11ed-9ec6-0242ac1c000c,19043c0c-74f5-11ed-b0b8-0242ac1c000c,359d0bb2-74f7-11ed-a487-0242ac1c000c,8c050c20-74f7-11ed-884d-0242ac1c000c,5d69f57e-74f7-11ed-8d69-0242ac1c000c
9,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7bcd6-74f4-11ed-9ec6-0242ac1c000c,19043d10-74f5-11ed-b0b8-0242ac1c000c,359d0c52-74f7-11ed-a487-0242ac1c000c,8c050c8e-74f7-11ed-884d-0242ac1c000c,5d69f60a-74f7-11ed-8d69-0242ac1c000c
10,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7bd80-74f4-11ed-9ec6-0242ac1c000c,19043e0a-74f5-11ed-b0b8-0242ac1c000c,359d0ce8-74f7-11ed-a487-0242ac1c000c,8c050d24-74f7-11ed-884d-0242ac1c000c,5d69f68c-74f7-11ed-8d69-0242ac1c000c
11,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7be2a-74f4-11ed-9ec6-0242ac1c000c,19043ef0-74f5-11ed-b0b8-0242ac1c000c,359d0d88-74f7-11ed-a487-0242ac1c000c,8c050d92-74f7-11ed-884d-0242ac1c000c,5d69f718-74f7-11ed-8d69-0242ac1c000c
12,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7bede-74f4-11ed-9ec6-0242ac1c000c,19043fea-74f5-11ed-b0b8-0242ac1c000c,359d0e1e-74f7-11ed-a487-0242ac1c000c,8c050df6-74f7-11ed-884d-0242ac1c000c,5d69f7a4-74f7-11ed-8d69-0242ac1c000c
13,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7bf7e-74f4-11ed-9ec6-0242ac1c000c,190440ee-74f5-11ed-b0b8-0242ac1c000c,359d0eb4-74f7-11ed-a487-0242ac1c000c,8c050e5a-74f7-11ed-884d-0242ac1c000c,5d69f826-74f7-11ed-8d69-0242ac1c000c
14,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,30f7c032-74f4-11ed-9ec6-0242ac1c000c,190441e8-74f5-11ed-b0b8-0242ac1c000c,359d0f4a-74f7-11ed-a487-0242ac1c000c,8c050ebe-74f7-11ed-884d-0242ac1c000c,5d69f8a8-74f7-11ed-8d69-0242ac1c000c
