,Id_Us,Id_Rol,Id_Per
0,a69bade4-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
1,a69bb186-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
2,a69bb29e-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
3,a69bb384-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
4,a69bb456-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
5,a69bb532-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
6,a69bb60e-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
7,a69bb6cc-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
8,a69bb78a-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
9,a69bb85c-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
10,a69bb924-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
11,a69bb9ec-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
12,a69bbaaa-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
13,a69bbb7c-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
14,a69bbc4e-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
15,a69bbd16-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
16,a69bbdd4-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
17,a69bbe9c-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
18,a69bbf5a-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
19,a69bc022-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
20,a69bc0d6-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
21,a69bc19e-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
22,a69bc252-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
23,a69bc310-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
24,a69bc3ce-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
25,a69bc496-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
26,a69bc568-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
27,a69bc630-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
28,a69bc6f8-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
29,a69bc7b6-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
30,a69bc914-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
31,a69c11a8-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
32,a69c1478-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
33,a69c1590-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
34,a69c1676-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
35,a69c2314-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
36,a69c2440-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
37,a69c2512-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
38,a69c25e4-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
39,a69c26b6-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
40,a69c277e-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
41,a69c2846-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
42,a69c2904-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
43,a69c29cc-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
44,a69c2a94-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
45,a69c2b52-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
46,a69c2c06-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
47,a69c2cce-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
48,a69c2d8c-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
49,a69c2e4a-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
50,a69c2efe-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
51,a69c3002-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
52,a69c30a2-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
53,a69c314c-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
54,a69c3200-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
55,a69c32be-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
56,a69c3372-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
57,a69c341c-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
58,a69c34d0-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
59,a69c3598-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
60,a69c3656-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
61,a69c3714-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
62,a69c37c8-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
63,a69c387c-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
64,a69c3944-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
65,a69c3a0c-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
66,a69c3ac0-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
